;ID;Date;Author;Comment;Quoted Author;Quoted Comment
;167;03.03.2016;Jake MacHine;Sanders / Trump 2016;;
;168;03.03.2016;Karina Loran;Do You spend the night alone? On the Website vikingman.ga can You with beautiful girls to get to know. Welcome, You'll not regret it!;;
;169;03.03.2016;Pigeater;"When we have slowdown in China - it means that here in North America people had stopped shopping.....What happened during the last crash - 50 million jobs paying 22-25 usd/h  were replaced with 50 million jobs paying 12-15 usd/h..At the moment 40% of North American are ""roofers"" and ""construction workers"" ... That is the level of education :))))";Enrique Ferro;This is a sequel of the 2008 crash, and the coming of age of the Millenium generation, who finds out that all the system is offering them is unemployment and debt. Larry, you know! more...
;170;02.03.2016;Enrique Ferro;"If Clinton wins, there will be war; she is a neocon puppet and a creeping militarist. It is still time to rally behind Sanders. Or else only Trump may stop her, whether we like it or not.";Rudolf Rangutan Graspointner;Both (either) Trump and Sanders can change the bad situation the USA is in to the better. I hope they become the two presidential candidates. ALL the others are sheep of lobbyists and would change nothing. The USA voter should think twice before voting another puppet of corporations. RRG2016 more...
;171;02.03.2016;Enrique Ferro;This is a sequel of the 2008 crash, and the coming of age of the Millenium generation, who finds out that all the system is offering them is unemployment and debt. Larry, you know!;;
;172;02.03.2016;Rudolf Rangutan Graspointner;Both (either) Trump and Sanders can change the bad situation the USA is in to the better. I hope they become the two presidential candidates. ALL the others are sheep of lobbyists and would change nothing. The USA voter should think twice before voting another puppet of corporations. RRG2016;;
;173;02.03.2016;Alfredo Bremont;yes go for it, perfect timing;;
;174;02.03.2016;Alfredo Bremont;have north korea take some refugees as this mess is what washington created on the middle east. the french effect: on politics, however jeremy corbin is the man for britain as sanders for america. in fact speed up the elections for the benefit of all.;;
;175;02.03.2016;tony blair;Who ever wins you know it will be the best president money can buy. I have my money on goldman sachs.;;
;176;02.03.2016;Adrian Horodecky;Time to retire, Larry. You sold out to the Russkis.;;
;177;02.03.2016;Mazmusic Ornament;i dont get it, ventura wants to go against trump? Trump is legit, but hard on borders, so media paints him so called racist.;;
https://www.rt.com/op-edge/334311-super-tuesday-neocons-trump/;;;;;;
;178;05.03.2016;Abinico Arts;Trump better be real careful - the Clintons have killed for far less - google 'Clinton body count'.;;
;179;04.03.2016;Tom Lowe;No.  Neocons have access to limitless funds via their counterfeiting friends at the Fed.;;
;180;04.03.2016;Tom Lowe;"Every time someone threatens me, I ask them ""And what if you lose?""  They back off every time.  You don't win by refusng to play.";Benny Zuccarullo;Trumps efforts as President will be stifled by the Neo-cons to the point that he will be a lame duck Prez. IF NOT, and If his agenda's start passing and enough people in the 'Deep State' get upset he will be another JFK.Its predicatble at this point. more...
;181;04.03.2016;groundcrew;Senator Bird was a KKK leader ... and he held office for decades;Laika Lammerink;Dr. David Duke might be called racist, 'supremacist', and so forth, by (hasbara) tr@sh like you, and the neo'cons' 'ISIS', and the neo'liberals', but that doesn't make him one, on the contrary . . . Thanks for making Duke known better, you dµmbo. more...
;182;04.03.2016;punda milia;"If you look close, you see it's a popular revolt against ""Corporate America"" by Americans - We The People. The Corporations control everything and they've run the Nation into the dirt and turned the world into chaos - all for profit. It's now or never, do or die for America.";;
;183;03.03.2016;Benny Zuccarullo;JOOZ !!!!;Rich Tygart;"I wish the news would just stop using the word ""Neo Con"" and tell it like it is. Neo Con=Zionist/Bolshevik Jews. Get it?  JEWS! more..."
;184;03.03.2016;Rich Tygart;"I wish the news would just stop using the word ""Neo Con"" and tell it like it is. Neo Con=Zionist/Bolshevik Jews. Get it?  JEWS!";;
;185;03.03.2016;Victor;So the best thing to do would be to stand aside and let the zionists and neocons have their way since they will have it one way or another?  Something I can't quite put my finger on is wrong with that logic....;Benny Zuccarullo;Trumps efforts as President will be stifled by the Neo-cons to the point that he will be a lame duck Prez. IF NOT, and If his agenda's start passing and enough people in the 'Deep State' get upset he will be another JFK.Its predicatble at this point. more...
;186;03.03.2016;Walter DuBlanica;Trump is frightening the neocon cabal. With trump as president ,the neocon cabal  is history.;;
;187;03.03.2016;Zionistatwarwithgentiles;Why are The Zionists  so afraid of a Catholic President,Yes they killed the last lot, and made sure there was only Zio-puppets to chose from since.Commenting 4 years ago on RT I suggested a Chatholic Prez and was ganged up on by Zio Trolls, Yes a army of sheckle paid trolls were here picking relentlessly on Arabs....I'm not a Catholic just sick of Aipac Gangsters dictating to world.;;
;188;03.03.2016;Benny Zuccarullo;Trumps efforts as President will be stifled by the Neo-cons to the point that he will be a lame duck Prez. IF NOT, and If his agenda's start passing and enough people in the 'Deep State' get upset he will be another JFK.Its predicatble at this point.;;
;189;03.03.2016;Beverly Banting;We'll see.  People, especially groups that are being oppressed, often do not vote in their own best interests.;Enrique Ferro;The independents and even many blue-collar and impoverished middle class will vote against Clinton, whoever her rival. And the Republicans will rally en masse. Clinton cannot win the final election. more...
;190;03.03.2016;Enrique Ferro;The independents and even many blue-collar and impoverished middle class will vote against Clinton, whoever her rival. And the Republicans will rally en masse. Clinton cannot win the final election.;Beverly Banting;Good article.  Both the Democrat and the Republican parties themselves may be in deep trouble.  It is hard to believe that Americans would support Clinton, but the Democratic Party tries to keep Americans from knowing or remembering who she and they are and what they have done.  Trump is a marketer, a dealer, and a showman and right now he is selling himself as he would a new venture.  What he might do if elected is far less clear than what Clinton will do. It is Republicans who are voting for him in the primaries and the Party will have to step very carefully if it plans to put itself into opposition with its own members and supporters by brokering the convention.   Will the US choose the devil it knows or the devil it doesn't know? more...
;191;03.03.2016;Enrique Ferro;The neo-cons are supporting Hillary R. Clinton. Robert Kagan stated it officially. They have been behind Obama's presidency, and they were influential for the war against Libya, Syria, etc. So there is nothing new about their allegiance. Or rather their sponsorship, as Clinton is part and parcel of them.;;
;192;02.03.2016;Frank Wolstencroft;Hillary did not win anything. The bought and paid for super delegates chose her. Sanders would win the popular vote. The fix is already in;;
;193;02.03.2016;Laika Lammerink;Dr. David Duke might be called racist, 'supremacist', and so forth, by (hasbara) tr@sh like you, and the neo'cons' 'ISIS', and the neo'liberals', but that doesn't make him one, on the contrary . . . Thanks for making Duke known better, you dµmbo.;;
;194;02.03.2016;Beverly Banting;You may be right.  I think that was the real feeling behind Chris Christie's worried look at Trump's side last night.;;
;195;02.03.2016;Tim Moore;Kristol is just another nervous neeo- con Jew, growing more paranoid with each Trump victory.;;
;196;02.03.2016;Beverly Banting;Good article.  Both the Democrat and the Republican parties themselves may be in deep trouble.  It is hard to believe that Americans would support Clinton, but the Democratic Party tries to keep Americans from knowing or remembering who she and they are and what they have done.  Trump is a marketer, a dealer, and a showman and right now he is selling himself as he would a new venture.  What he might do if elected is far less clear than what Clinton will do. It is Republicans who are voting for him in the primaries and the Party will have to step very carefully if it plans to put itself into opposition with its own members and supporters by brokering the convention.   Will the US choose the devil it knows or the devil it doesn't know?;;
;197;02.03.2016;Multipolar World;Great articles [the one concerning Olof Palme and the other of 2013 regarding European subservience). I would say °With the far-right making major advances [everywhere in the Western Hemisphere) the left needs to make a clean break with neoliberalism and neoconservatism, and adopt the populist, anti-war, anti-imperialist, pro-worker policies that Olof Palme espoused.°. Thank you for remembering Olof Palme and illustrating the article with such great video of 1982 campaign in Sweden.;;
https://www.rt.com/usa/334291-winners-losers-super-tuesday/;;;;;;
;198;03.03.2016;Che San Feng;"Can't help but hope Trump wins. He'll make the US honest. He does speak for the majority. Who said ""countries get the government they deserve""? He'd be right in this case. Trump IS Amerika.";;
;199;03.03.2016;vann tedd;The joker (hitlery clinton) will be picked regardless of who win by the Neocon mafia. How can such a monster get any support from civilians is the question. It will be like voting for George bush again.;;
;200;03.03.2016;NeilS;That is the point.The laws are on the books but the Presidents and Attorney Generals don't enforce them.How many banksters went to jail in the US?NoneIn Iceland, they actually enforced their laws and sent 26 bankers to prison.That is what Hillary will do. . . Pass laws but tell the AG not to enforce them.Watch Lynch give Hillary a free pass on her email server. . . Even though at least 4 - 5 countries probably hacked it.;;
;201;03.03.2016;Beat Ukronazi;all candidates  are complete  idiots .  US is a country of  idiots and insanes;;
;202;03.03.2016;Beat Ukronazi;Only  after they jail criminal bush/cheney traitors, that is never;;
;203;03.03.2016;John Nagy;When are they going to indict Clinton???;;
;204;03.03.2016;Alfredo Bremont;TRUMP:::::::::::::::Reichstag fire?, what happens is easy, money: them the collapse of the republican party, a sort of french effect: from refugees i presume, they are unhappy and all this axis of evil washington city of london and israel. the middle east chaos since 1947 and going...pick up in 1953, speed up in 1967, and from them on is chaos after chaos.;;
;205;03.03.2016;Gord Lawson;CNN are the mouth piece of the Democratic Party. This will become clearer when the Hitlary debates the Republican winner. Hopefully Donald Trump.;;
;206;03.03.2016;Gord Lawson;"CNN ""Certainly Not News""";Pigeater;"CNN  house slaves are working 24/7 againstDonald TrumpandBernie Sanders  :)).. Interesting how Journalists with x00 000 selaries (some millionaires ) can speak ""What American people think"":))) more..."
;207;02.03.2016;Enrique Ferro;"If Clinton wins, there will be war; she is a neocon puppet and a creeping militarist. It is still time to rally behind Sanders. Or else only Trump may stop her, whether we like him or not.";Tom Hill;Relax he's a negotiator, people like him don't go to war like the previous administrations have.  You will see a lot less war if Trump wins.  For regular people war is not good.  Trump is for the people.  Unfortunately since the previous US administrations have caused the rise of fanatics like ISIS, there will still be some military action required to remove these idiots from the planet.  After that there should be no need for any wars. more...
;208;02.03.2016;Enrique Ferro;Torture is already legal in the US, and Muslims are practically banned from entering. As for the Blacks, who are securing Clinton to win the primaries, they forget that it is during Clinton's presidency that they lost their benefits, and that the prison regime started to be even worse, and now under their Obama the Blacks are killed on the streets almost every day. Why they want more of that under Clinton, I can't understand.;;
;209;02.03.2016;Pigeater;"CNN  house slaves are working 24/7 againstDonald TrumpandBernie Sanders  :)).. Interesting how Journalists with x00 000 selaries (some millionaires ) can speak ""What American people think"":)))";;
;210;02.03.2016;Chris Castle;I'm sure this was addressed, but I'm not much of a comment reader. Marco Rubio did in fact win one state on Tuesday, Minnesota. Also, Sanders had 4 wins not 3.;;
;211;02.03.2016;Enrique Ferro;In spite of her disastrous record along with her husband against the Afro-American population, as she was instrumental in the destruction of whatever remained of the New Deal, and the ominous jail regime started with the Clintons, she will have to thank her primary securing to the Black vote. This is Black Super Tuesday, and with Hillary as a militaristic and neocon puppet and profiteer we'll have to get used to the idea that there will be war, and this time it will not be against a defenseless state such as Libya. Unless there is a last-minute rally around Sanders, and whether we like him or not, only Trump can ultimately stop her.;;
;212;02.03.2016;john D;If you truly believe that last sentence you made, you've still got a lot of growing up to do;Tom Hill;Relax he's a negotiator, people like him don't go to war like the previous administrations have.  You will see a lot less war if Trump wins.  For regular people war is not good.  Trump is for the people.  Unfortunately since the previous US administrations have caused the rise of fanatics like ISIS, there will still be some military action required to remove these idiots from the planet.  After that there should be no need for any wars. more...
;213;02.03.2016;Tom Hill;We'll see.  Never say never friend.;;
;214;02.03.2016;Tom Hill;Sanders is weak, nothing will change with him.;Nuncius Mortis;I personally I would like to see Sanders agains Trump!In this scenario there is nothing to loose for USA and finaly light on that stupid hawks tunnel!!! more...
;215;02.03.2016;Tom Hill;Relax he's a negotiator, people like him don't go to war like the previous administrations have.  You will see a lot less war if Trump wins.  For regular people war is not good.  Trump is for the people.  Unfortunately since the previous US administrations have caused the rise of fanatics like ISIS, there will still be some military action required to remove these idiots from the planet.  After that there should be no need for any wars.;Steven Tyler;Trump will be in the Oval Office next January. The world may be in the middle of the biggest gunfight in history when he gets there and he may have to be sworn in by candle light in a bomb shelter but it won't be Hillary for sure. more...
;216;02.03.2016;Tom Hill;You're an imbecile.  If you would use some deduction you would realize that a billionaire who already has a legacy and power would never put his life under such risk to run for president, spend his own millions and then turn around and back stab all the people that voted for him.  I don't think a smart mans plan would be to become the most hated man in America.  Please go and better yourself.;Jojo jordan;Trump and Clinton don't care about everyday Americans. They are con artists, some reach parasites who take the fate of America as a game and enjoy playing the system. If either of these 2 win then America WILL change, but not towards better. more...
;217;02.03.2016;Tom Hill;Sanders did not start a job till he was 40 years old.  he doesn't even compare to Trump.  He looks like he's in poor health.;;
;218;02.03.2016;Tom Hill;He's funded by lobbyists.  He's an owned candidate.  How can you not see that Trump is the only sane option.  Are you still blind to how things really work?;itsme_terrylee@yahoo.com Moore;There can only be one who wins in this race, it has to be Cruz...we as a nation must have a man who has a amazing record, experience and knowledge to get us through the next four years of the worst situation this nation has ever been in..war is looming on our own soil, banks need to be brought to justice, our economy , our jobs, immigration, you name it...Obama has torn this country down so far, it will take years to fix. We must get the White House cleaned out, get rid of the Muslim brotherhood, the Harry Reid's, McCain etc..get rid of IRS, EPA, Homeland Security,stop all arms sales to government agencies like the U.S. Postal service, dept of education must be restructured..Stop all immigration and ship those who have come in over the last 8 years back to where they came from. Stop all involvement in the middle-east east, stop all illegal treaties under Obama, including climate change hoax..tear down Obama care, bring him and his gang up on charges of treason..Valerie Jarrett etc.Lots to do...Cruz will do it. more...
;219;02.03.2016;Derek Maher;Trump will beat Clinton in the general election she is tainted goods politically.;;
;220;02.03.2016;itsme_terrylee@yahoo.com Moore;There can only be one who wins in this race, it has to be Cruz...we as a nation must have a man who has a amazing record, experience and knowledge to get us through the next four years of the worst situation this nation has ever been in..war is looming on our own soil, banks need to be brought to justice, our economy , our jobs, immigration, you name it...Obama has torn this country down so far, it will take years to fix. We must get the White House cleaned out, get rid of the Muslim brotherhood, the Harry Reid's, McCain etc..get rid of IRS, EPA, Homeland Security,stop all arms sales to government agencies like the U.S. Postal service, dept of education must be restructured..Stop all immigration and ship those who have come in over the last 8 years back to where they came from. Stop all involvement in the middle-east east, stop all illegal treaties under Obama, including climate change hoax..tear down Obama care, bring him and his gang up on charges of treason..Valerie Jarrett etc.Lots to do...Cruz will do it.;;
;221;02.03.2016;David Woelke;Thank you RT for indicating in the first photo that Trump was on the left(L) and Clinton was on the right(R);;
;222;02.03.2016;Boe Zone;Clinton and Obama are both criminals. Trump will be better than either.;;
;223;02.03.2016;Jojo jordan;Trump and Clinton don't care about everyday Americans. They are con artists, some reach parasites who take the fate of America as a game and enjoy playing the system. If either of these 2 win then America WILL change, but not towards better.;;
;224;02.03.2016;Steven Tyler;Trump will be in the Oval Office next January. The world may be in the middle of the biggest gunfight in history when he gets there and he may have to be sworn in by candle light in a bomb shelter but it won't be Hillary for sure.;;
;225;02.03.2016;Nuncius Mortis;I personally I would like to see Sanders agains Trump!In this scenario there is nothing to loose for USA and finaly light on that stupid hawks tunnel!!!;;
;226;02.03.2016;Roman Soiko;Hillary is evil, she is a puppet. How can anybody vote for her? Americans should question every superdelegate she got. It's all fake. The elections have been hijacked by Illuminati.;;
;227;02.03.2016;Samuel McAleer;it is a disgrace a majority of entertainment news sources are counting them as if they were.;Sue Ann Lorig;Correction:  Sen. Bernie Sanders won four states (Vermont, Oklahoma, Colorado, and Minnesota) and almost tied in Massachusetts.  Also, the super delegates are not locked in and should not be counted as if they were. more...
;228;02.03.2016;justin stark;Your unintelligible gibberish serves no one. Until you learn English, get lost.;;
;229;02.03.2016;d mtz;"""President TRUMP""come november 8,2016";;
;230;02.03.2016;d mtz;Take your medicine and go back to your cave;;
;231;02.03.2016;Sam Sam;Yes everyone is afraid for Trump's life the oligarchs are very dangerous.;;
;232;02.03.2016;Axis Mundial;Neo Nazi extremist that hi jacked American political n economic process are spoon feeding USA masses the lesser evil...win WIN for the rich frauds that own both parties...LOSE ,LOSE FOR AMERICAN PEOPLE...quit being used America by the neo Nazi that need war on lies to float the only economy the frauds have left;;
;233;02.03.2016;Sue Ann Lorig;Correction:  Sen. Bernie Sanders won four states (Vermont, Oklahoma, Colorado, and Minnesota) and almost tied in Massachusetts.  Also, the super delegates are not locked in and should not be counted as if they were.;;
;234;02.03.2016;MONKEY BUSINESS;YOU guys still think the elections is for REAL? TO the people for the people, just tell me where in this earth.... give a BREAK people....LOL;;
;235;02.03.2016;d mtz;The world should prepare for the worst if evil hillary elected;;
;236;02.03.2016;d mtz;Stop reading conspiracy theories and you will be ok;Barry Soetoro;Freemasons are going for a coup in United States,Trump versus the warmongering Zionist Hitlery Clinton,darling of the Zionists.The fight will get very dirty. I fear for Trump life,i really do. more...
;237;02.03.2016;ASilence;You should not fear Trump being killed, you should fear for your country if he gets in.;;
;238;02.03.2016;d mtz;Hillary = chaos;;
;239;02.03.2016;ASilence;Spot on. There's one thing Trump will do though if he gets in, which is not just keep 'Muslims' out but every type of person, the country will end up being like a festering mound of uneducated nazi loving thugs.;;
;240;02.03.2016;Barry Soetoro;"Your reply is typical of a Liberal.""There is no point in you replying""great response super intelligent one.You and your fascist opinons are the problem.";;
;241;02.03.2016;Barry Soetoro;US government controlled media is so transparent with its narrative. Impartial and subjective with their reporting they are not.;;
;242;02.03.2016;ASilence;"""Most of what he says is common sense""There's literally no point in me replying...";;
;243;02.03.2016;ASilence;Why on earth would you fear that.. he's dangerous in his extremities, he sums up solely all that is bad in America.;Barry Soetoro;Freemasons are going for a coup in United States,Trump versus the warmongering Zionist Hitlery Clinton,darling of the Zionists.The fight will get very dirty. I fear for Trump life,i really do. more...
;244;02.03.2016;Cainen Harris;I hope so, but I fear Clinton will cheat it from him. He still has my vote though.;;
;245;02.03.2016;Kent Rieske;I admire President Vladimir Putin greatly. I wish he were our president here in the United States.;;
;246;02.03.2016;Kent Rieske;Barry, I agree with you 100%.;Barry Soetoro;Freemasons are going for a coup in United States,Trump versus the warmongering Zionist Hitlery Clinton,darling of the Zionists.The fight will get very dirty. I fear for Trump life,i really do. more...
;247;02.03.2016;Barry Soetoro;Freemasons are going for a coup in United States,Trump versus the warmongering Zionist Hitlery Clinton,darling of the Zionists.The fight will get very dirty. I fear for Trump life,i really do.;;
;248;02.03.2016;Terri MacCain;Oh God,  take putin out of all this;Kent Rieske;I don't understand the negative comments and ugly pictures that RT posts of Donald Trump. He and President Vladimir Putin would certainly agree in many areas and establish the best relationship between Russia and the USA in history. President Putin admires and respects Donald Putin. Of course, Donald Trump cannot praise President Putin openly in this election atmosphere. more...
;249;02.03.2016;Nonyank S;Something from nothing is still nothing, and these candidates must be running for head of the Clown College!;;
;250;02.03.2016;James Morrison;I'm still amazed that these clowns are candidates for president, and the way it's looking, one of them will become president.No way on the planet are they the best candidates to represent the country. Trump is all mouth, no action, and is clearly in it for comedic purposes, or to make Hillary the battle-axe look good. Hillary is self-explanatory, a little research and you'll find she is heavily involved in corporate corruption. Either way, it's a joke.;;
;251;02.03.2016;Rick Smith;Yep, back in 2008 to be precise.  She stepped down when she was AHEAD in delegates to clear the path for Obama.  Why would she do that?  It was obvious to me back then and even more obvious now, she was given the nod to be next.;;
;252;02.03.2016;Kent Rieske;I don't understand the negative comments and ugly pictures that RT posts of Donald Trump. He and President Vladimir Putin would certainly agree in many areas and establish the best relationship between Russia and the USA in history. President Putin admires and respects Donald Putin. Of course, Donald Trump cannot praise President Putin openly in this election atmosphere.;;
;253;02.03.2016;ann ken;America is one Sick nation;;
;254;02.03.2016;John Carpenter;Bernie won Minnesota too, ya know.;;
;255;02.03.2016;Terri MacCain;Come on US,  is this the best you have??;;
;256;02.03.2016;Gazi;Who is she?;;
;257;02.03.2016;Henry;Thats why I hope she will be elected as cleaninglady in jail.;Gazi;Clinton was a disaster US Secretary of State. She will also be a disaster  President of the United States if she will win the elections. more...
;258;02.03.2016;Henry;Of everything tat whe could be arested of (warmonger, Planet destroyer, psychopath) lets hope it will be the da mn emails.;;
;259;02.03.2016;Gazi;Clinton was a disaster US Secretary of State. She will also be a disaster  President of the United States if she will win the elections.;;
;260;02.03.2016;Henry;Or if Killary just goes to jail...;;
;261;02.03.2016;Henry;Lets hope a 3th party will win... for some miraculous way.;;
;262;02.03.2016;Henry;Lets hope the button is broke...;;
;263;02.03.2016;Pigeater;"The US anthem  is about ""Land of the Free and the Home of the Brave""...No mentioning of Country of the Clever :)))";;
;264;02.03.2016;Henry;Poor America and poor world. Well, atleast we know now ww3 will be coming soon.;;
;265;02.03.2016;Henry;No problem, Sanders just has to win 80% of the popular vote. O wait...;;
;266;02.03.2016;Mercia North;So, will Saunders win the presidency in you opinion ?. I most certainly hope so..;;
;267;02.03.2016;Henry;Withoud Trump. Or if Cruz and Rubio attackt him of having his companies in China an Mexico from the start. Bernie Sanders had won this presidental campaign with a landslide.;;
;268;02.03.2016;Cainen Harris;"Uh, this article is incorrect. Sander won four states; Oklahoma, Vermont, Colorado, and Minnesota.";;
;269;02.03.2016;Pigeater;Captain Donald J Trumpagainst Killary Klingon ....It will be epic :)));;
;270;02.03.2016;Derek Maher;I am surprised that Hillary is getting so many African American votes. Its not as if their lot has improved a lot since Obama took office ?.;;
;271;02.03.2016;Anuva;The proven war criminal will ultimately become the establishment's choice. And the delegates and ultimately the electoral college will vote accordingly. These are simply circus shows to get the ordinary population to feel like they have had a share in the process. Happens in almost every western pseudo democratic state.;;
;272;02.03.2016;Nick Durrer;The race is on and they go now for blood, especially Hillary Clinton. Her arrogance will make her fail.;;
https://www.rt.com/op-edge/334275-us-trump-super-tuesday/;;;;;;
;273;06.03.2016;Jay Spencer;"The Green Party is a Party, not a ""tribe.""";;
;274;06.03.2016;Jay Spencer;"The Green Party is a Party, not a ""tribe.""";;
;275;06.03.2016;Jay Spencer;"Lumping all Jews (and people you regard as Jewish) into one monolithic group is just as wrong as lumping all Christians with the KKK or the Jesuits, or lumping together all Muslims (Shia, Sunni, and the fake ""Muslims"" of ISIS/ISIL/IS/etc. who are largely non-Muslim mercenaries paid by the CIA, Turkey, Israel and the Saudis).";;
;276;06.03.2016;Jay Spencer;We will see. If Bernie loses the nomination and supports Hillary, as he says he will, you will see a movement by his supporters to the Green Party, a phenomenon not seen since Lincoln led the Republicans to victory (for the first time).;;
;277;06.03.2016;Jay Spencer;"Bernie is a Jew (although not a ""practicing"" Jew). Stein? Don't know, don't care. I am a Jew, and I support Jill Stein because she has integrity and will never be owned by anyone, regardless of what her religion might be. I am living proof that all Jews are not the same, and do not follow any leadership other than their own consciences. Do you have a religion? Do you wish to be prejudged on the basis of that religion? If not, follow your religion and do to others as you would have them do unto you (a principle held by Christians, Jews and Muslims (the ""Abrahamic"" religions, as well as most other religions, and most atheists as well).";;
;278;03.03.2016;Vince Vega;The US politicians never tell what really should be done to change the situation. This one included.;;
;279;03.03.2016;Jacques Jacobs;She is spot on, the dems have been taken over by neo-con infiltrators, not unlike what happened to the labour party in britain.;;
;280;03.03.2016;Alexei Romanov;There is no genuine schism between Jews although they try to make it look like there is. The Jews have been doing the same thing since back in the Wiemar republic. Leftist Jew. Zionist Jew, doesn't matter. A Jew is a Jew is a Jew.;;
;281;03.03.2016;Alexei Romanov;(((Stein)));;
;282;03.03.2016;Ed Pell;"The US government has always served the rich. It will not change because the ""people"" object.";;
;283;02.03.2016;Laika Lammerink;Jill Stein is perfectly right . . . Apart from everything being controlled by, and rigged in favor of, the organized criminals (especially the media), in Germany we've at least some real good politicians (like Jill Stein) in parliament along with their own political party.;;
;284;02.03.2016;Robin Gradin;Trump train!;;
;285;02.03.2016;Minh Mai;The platforms are very similar. The Green Party's concern with foreign affairs being one of the stark differences.;;
;286;02.03.2016;R Jones;Worldwide everyone wants to be free of the way of the past failures. The world hears of examples of failure everyday We know now what we want to change it but,  they keep taking us back to where they want us either at war or separatism.  Everything that is in the dark shadows is being released and truth is known. Everything said in the article rings true and she is right about our condition.  Get along people because ONLY combined efforts will give us a honest chance to get what people expected in life on this planet.  If the green party does not align itself right now with Bernie Sanders we will never see the new light of day. The party thing should not be the issue at this time, forget this so-called enemy rivalry and unity will create something more in line with what humanity wants.;;
;287;02.03.2016;Nick Durrer;She belongs to the same tribe like Bernie Sanders.;;
https://www.rt.com/shows/big-picture/334247-us-super-tuesday-results/;;;;;;
https://www.rt.com/usa/334141-cornyn-trump-senate-incumbents/;;;;;;
;288;01.03.2016;Xavier McKnight;"So much of this is the corporate-controlled government and media in n. america in a spastic panic fearing their tight-fisted control over the n. american government and enslavement of the people of n. america might begin to fade (but it wont). Like jumping all over Trump for a quote that was NOT originated by mussolini but because of the association the media and corporate establishment had a ""mensa candidate"" moment and tried to associate the quote directly with fascism.Well, let's see, this is a common saying in Tibet, India, Africa...and there is another one that if I was writing for Trump he would be using today:""A Lion does not concern himself with the opinions of a sheep.""If it is being hyped by the current crop of corporate stooges homesteading in washington d.c. and the corporate-controlled media in n. america, and it has anything to do with Trump - or Sanders (or Jessie Ventura when he announces) then it has a 99% chance of having less than a 1% chance of being within even spitting distance of the truth.";;
;289;01.03.2016;Kyle Keeton;Seems that they are scared...;;
https://www.rt.com/usa/334082-super-tuesday-consecutive-voting/;;;;;;
;290;02.03.2016;Vince Vega;That's only a sales talk. If Trump will come to office lot of current populist speeches will be dropped.;Ivan Petrov;I am from Russia and I hope that Trump wins, he seems to be the only one who does not call Russia a world's threat (which is surely bullsh*t). Nobody from current US government wants him to be the president and that's a good sign :) However I have a feeling that he will be pushed off from the race. more...
;291;02.03.2016;Vince Vega;Turkey is NATO and a US accomplice in Syria. Lots is allowed for dictators who obey the US.;;
;292;02.03.2016;Ivan Petrov;I am from Russia and I hope that Trump wins, he seems to be the only one who does not call Russia a world's threat (which is surely bullsh*t). Nobody from current US government wants him to be the president and that's a good sign :) However I have a feeling that he will be pushed off from the race.;;
;293;02.03.2016;TheWhiteBaron;Why are you not showing the other states though RT! Trump scooped nearly all of them!;;
;294;02.03.2016;Nova super;we need a wise leader not a warlord buddies.;;
;295;02.03.2016;Camel Dung;Dumb americans think it's the president who pulls the strings in the USA.;;
;296;02.03.2016;Michael Donnelly;Angela Merkel is probably the best leader of our time. The only reason she's letting the migrants in is because of Germanys falling population. Can't say the same for Russia it's population is predicted to be 100 million by 2050 unless something is done. Whilst Germanys prediction is 50 million.;Gina Exner;I really think that this woman is possessed....and the idiots that support her, saying she is for women's rights when she outright supported the Muslim Brotherhood who treat women as sex slaves is just mind boggling to me. I hope you all realize that any women that runs a nation, as far as Islam is concerned is a nation that will fall into Islamic control....look at Germany and this stupid Angela Merkel that is allowing this Political Islam movement take over her nation, well same thing will happen to USA if the Hildabeast gets the job. more...
;297;02.03.2016;Gina Exner;I really think that this woman is possessed....and the idiots that support her, saying she is for women's rights when she outright supported the Muslim Brotherhood who treat women as sex slaves is just mind boggling to me. I hope you all realize that any women that runs a nation, as far as Islam is concerned is a nation that will fall into Islamic control....look at Germany and this stupid Angela Merkel that is allowing this Political Islam movement take over her nation, well same thing will happen to USA if the Hildabeast gets the job.;;
;298;02.03.2016;Erik van der Geest;The stupidity of the american people is beyond epic ! How can they vote for people like Hillary or Ted Cruz.!! Dont they see who they work for and what their plan is ? Dont they see what they already caused  and did to get this far ?   If one of these 2 phycos get into the whitehouse then its officialy WW3 !!!;;
;299;02.03.2016;Camel Dung;USA is a circus tent. That explains the circus flag.;;
;300;02.03.2016;FinalMythology;20-23 states don't have lousy voting machines, some others use paper or optical have lousy caucuses, and some of the others have human racism and stupidity beyond epic proportions. Yet Bernie Sanders still can still squeeze out a win if he can win most of those 20-23 states. We've yet to see.;;
;301;02.03.2016;william SMITH;Agreed. Very well said. +1.;;
;302;02.03.2016;darkmountainman23;Trump 2016;;
;303;02.03.2016;Kim Jong Illin;I don't bang men;;
